INPUT:parentheses	OUTPUT:correct	GOLDEN:correct	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
[ ( } ) ) ] { [ ] ( { { [ ( ] } } ) ) {	0				https://platform.toloka.ai/task/41554142/00027a10de--651672354dc98f156e8fc965	00027a10de--6515e7f4e6499645e520ca19	00027a10de--651672354dc98f156e8fc965	00027a10de--651672354dc98f156e8fc95b	ec3328bcaa866d99022b38cf8e522237	APPROVED	2023-09-29T06:44:05.190	2023-09-29T06:44:22.420	2023-09-29T06:44:22.420	0.0220000000
{ ] { ]	1	0			https://platform.toloka.ai/task/41554142/00027a10de--651672354dc98f156e8fc965	00027a10de--6515e7e063c0d47637f1e106	00027a10de--651672354dc98f156e8fc965	00027a10de--651672354dc98f156e8fc95b	ec3328bcaa866d99022b38cf8e522237	APPROVED	2023-09-29T06:44:05.190	2023-09-29T06:44:22.420	2023-09-29T06:44:22.420	0.0220000000
[ { ( [ ] ) } ]	1				https://platform.toloka.ai/task/41554142/00027a10de--651672354dc98f156e8fc965	00027a10de--6515e7f4e6499645e520ca83	00027a10de--651672354dc98f156e8fc965	00027a10de--651672354dc98f156e8fc95b	ec3328bcaa866d99022b38cf8e522237	APPROVED	2023-09-29T06:44:05.190	2023-09-29T06:44:22.420	2023-09-29T06:44:22.420	0.0220000000
( ) [ } [ [ } { } ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--65167249bded9655b662a673	00027a10de--6515e7e063c0d47637f1e0e3	00027a10de--65167249bded9655b662a673	00027a10de--65167249bded9655b662a66e	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:44:25.630	2023-09-29T06:44:44.884	2023-09-29T06:44:44.884	0.0190000000
[ { ( [ ] ) } ]	1				https://platform.toloka.ai/task/41554142/00027a10de--65167249bded9655b662a673	00027a10de--6515e7f4e6499645e520ca83	00027a10de--65167249bded9655b662a673	00027a10de--65167249bded9655b662a66e	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:44:25.630	2023-09-29T06:44:44.884	2023-09-29T06:44:44.884	0.0190000000
{ } [ ] [ ] ( )	1				https://platform.toloka.ai/task/41554142/00027a10de--65167249bded9655b662a673	00027a10de--6515e7f4e6499645e520cad3	00027a10de--65167249bded9655b662a673	00027a10de--65167249bded9655b662a66e	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:44:25.630	2023-09-29T06:44:44.884	2023-09-29T06:44:44.884	0.0190000000
[ { ( [ ] ) } ]	1				https://platform.toloka.ai/task/41554142/00027a10de--65167259bded9655b662aae1	00027a10de--6515e7f4e6499645e520ca83	00027a10de--65167259bded9655b662aae1	00027a10de--65167259bded9655b662aadf	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:44:41.512	2023-09-29T06:45:09.042	2023-09-29T06:45:09.042	0.0220000000
{ } ( ) ( ) { { ( ) ( ) ) } [ ] [ { } ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--65167259bded9655b662aae1	00027a10de--6515e7e063c0d47637f1e108	00027a10de--65167259bded9655b662aae1	00027a10de--65167259bded9655b662aadf	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:44:41.512	2023-09-29T06:45:09.042	2023-09-29T06:45:09.042	0.0220000000
[ ] [ ] [ ] [ ] [ ( ) { ( ) } ( ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--65167259bded9655b662aae1	00027a10de--6515e7f4e6499645e520ca31	00027a10de--65167259bded9655b662aae1	00027a10de--65167259bded9655b662aadf	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:44:41.512	2023-09-29T06:45:09.042	2023-09-29T06:45:09.042	0.0220000000
( [ ] [ ( { } ) ( ) ] { { } ( ) ( ) } )	1	1			https://platform.toloka.ai/task/41554142/00027a10de--6516725e02bac216570043d5	00027a10de--6515e7e063c0d47637f1e0e9	00027a10de--6516725e02bac216570043d5	00027a10de--6516725e02bac216570043cb	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:44:46.417	2023-09-29T06:45:03.431	2023-09-29T06:45:03.431	0.0220000000
( ] } ]	0				https://platform.toloka.ai/task/41554142/00027a10de--6516725e02bac216570043d5	00027a10de--6515e7f4e6499645e520caa6	00027a10de--6516725e02bac216570043d5	00027a10de--6516725e02bac216570043cb	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:44:46.417	2023-09-29T06:45:03.431	2023-09-29T06:45:03.431	0.0220000000
[ { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516725e02bac216570043d5	00027a10de--6515e7f4e6499645e520cac0	00027a10de--6516725e02bac216570043d5	00027a10de--6516725e02bac216570043cb	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:44:46.417	2023-09-29T06:45:03.431	2023-09-29T06:45:03.431	0.0220000000
} } } } ( ] } } } ) } } ) ) } } ) } ) [	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516727102bac2165700487d	00027a10de--6515e7e063c0d47637f1e112	00027a10de--6516727102bac2165700487d	00027a10de--6516727102bac21657004879	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:05.102	2023-09-29T06:45:27.746	2023-09-29T06:45:27.746	0.0220000000
[ ( } ) ) ] { [ ] ( { { [ ( ] } } ) ) {	0				https://platform.toloka.ai/task/41554142/00027a10de--6516727102bac2165700487d	00027a10de--6515e7f4e6499645e520ca19	00027a10de--6516727102bac2165700487d	00027a10de--6516727102bac21657004879	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:05.102	2023-09-29T06:45:27.746	2023-09-29T06:45:27.746	0.0220000000
