worker_id|skill_value
10f105352b61089662eb8ca705cfc3e0|100
cd9bff02fc6847f4dee3513f13647449|100
ab359b4d7d5f9bbefd2f76d8d625e623|100
297bb0ee9c937e2e7b68e26b739906bc|100
375b62caa6e7b5298e1ef9111d72adf6|80
a44610669ff25093a950a3d390ba088d|80
7b33beae5650cfdb8aa858efb158425d|88
0efcfa03b915814f5163731102188d4a|75
54338d099e72c3e831950128dec17753|100
60261383124647b6acad72f8418dd805|90
957cbcb9091d11e90a18810fc1870716|83
22e85e6f961373328bcfeffb771b011b|100
d17893101c3b56e6a19fa6d38e8ccb30|86
edcd5c6107b5586b841081efdfb069de|90
434e54828a7e77c7f93e074950cb2191|80
d7461b8d6231911cd4236ad1ebb80c44|100
55a7aa271f745e07125e6790db6785e4|100
e1d33e35a07142ab2f5c38caee1c6640|100
eb3094cffc4f0419b5366e52eae59eae|100
b25f59a60b02ffdacb588bdf7cb84f84|78
9dfea5a83e68dc562d93a9f524c126cf|100
fc59309b9abe517ae21784459fc1b81a|100
652388480fbed0cfe02b3ea0427d5397|100
63fdc082901496b41f754f6df37db9a7|100
8ba4e80a18785d771377a446252e667b|50
30e603d64879a0db4a3d283648ce619f|100
9546c5b1f8afe545db29edbd28c97d58|80
d8f3a6ce926f5c3de194002ba2ab7eda|50
347dc5120a4007e155360ee69139010e|100
9356d5f52794cb4ec0e37cbf011fce33|86
ab869da0d5528adad78c3292616399a3|89
df3c5736dc08b1b48106ae778e543ecb|67
5f0c40272a59b6642540c30aa48b73b3|100
ef3f99d8ba8c7c370e154b7c9a7aed92|100
578670ccaf6843a2d29e8bb97b175e2f|100
733577126c2064752e7efb75002a8165|60
3bfa80820974a74a1694eafea3b1683e|80
893589591375de85f2e4dbdd13cdc3a9|100
b648977e922090b288d02d0fa84630fe|100
b214b5a97fe4737538891419ceead597|100
a233d1d1d3eaa00c594d354f99defa7a|100
d4bc10b1ce5c330316a27ab6a60eb63e|75
ec3328bcaa866d99022b38cf8e522237|86
268d4b9e2d85258b3b947f8d33f1603d|80
967efc84f2f1d634820c996a56b7f155|100
f6969f8605985e38cbcd339f3e4b9fef|60
db490266783ff3f7b7cbfe29cf9cbffa|100
c05e40743ed3b33009721f3d27dcd2f1|100
cd07be20e857e07cde5cce14ead65727|70
a99705c389ed1fb44c05f77e1467f40c|80
20f698be36246ec354a5aae63a1d2ab0|100
d22ad0df983f4e7185aef69b171aea86|100
6569c1bbed948d763293f97f89ef78e9|50
87e578d3ad7f6cd312dbda48b5b79380|100
e09316d5dc593d35329b3be9dd7dddf7|89
6bfbcd2e948313ac870c739e71f9d7ba|100
b5d97fb811f108f070ffda59491c0a1f|67
d297af252e54a619b290c2c7722d7f03|75
fc0539a3c5994048f03b0cf55496e19e|100
055daefd5276f165ccf20eb96aa5ed23|100
7ef77004cf313c297e1dde4517bddd39|100
d7946441ab0a4fd9d474a7c7622ac4bb|100
b4774155194987900c28c9c4d501d84c|100
2055c9a7a00d1b4098ae109b982c08a8|100
8ff0a49d40b9b03e49022265ea3a36a6|75
61ddd40ae44e1a7fd9b67b09a20795a0|100
b23e58a50b7ff12474d84261618c7587|70
bd529c1042acedfb668420a90cd72de8|90
11382edf2065da968eca08ecf6568a00|70
6995671b65ccf7ef499e0cb3de5f461b|100
4cbbac68c11c1ca695ca3167ffd4fdf6|80
a6cf91d2b5f78775330412d26cb9335e|70
8e3fb1e85dd57c27dbbbccc571401b18|78
c2126a3b31ac520e561e4a7b0384a8e3|83
