INPUT:string1	INPUT:string2	OUTPUT:length	GOLDEN:length	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
HNPUSKVDLLLKOS	VQJSBYODNEITFC	1				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6510ab55c42a0d8d0b0	00027a3e09--6516f36c15b13a5af6053978	00027a3e09--6516f6510ab55c42a0d8d0b0	00027a3e09--6516f6510ab55c42a0d8d0ae	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:07:45.508	2023-09-29T16:08:40.445	2023-09-29T16:08:40.445	0.0290000000
CTXMKP	CTAVMK	3	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6510ab55c42a0d8d0b0	00027a3e09--6516f3589ed8a304702aa85d	00027a3e09--6516f6510ab55c42a0d8d0b0	00027a3e09--6516f6510ab55c42a0d8d0ae	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:07:45.508	2023-09-29T16:08:40.445	2023-09-29T16:08:40.445	0.0290000000
ETZWYRWEKQPJLU	OEOPDQRI	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6510ab55c42a0d8d0b0	00027a3e09--6516f36d15b13a5af60539f5	00027a3e09--6516f6510ab55c42a0d8d0b0	00027a3e09--6516f6510ab55c42a0d8d0ae	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:07:45.508	2023-09-29T16:08:40.445	2023-09-29T16:08:40.445	0.0290000000
CTXMKP	CTAVMK	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6b602bac216571e6baf	00027a3e09--6516f3589ed8a304702aa85d	00027a3e09--6516f6b602bac216571e6baf	00027a3e09--6516f6b602bac216571e6bad	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:09:26.359	2023-09-29T16:11:27.699	2023-09-29T16:11:27.699	0.0290000000
ISOGEVZOTTUQDOCK	BZGXQTGWLECXUEZPVWIKQILONSZ	14				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6b602bac216571e6baf	00027a3e09--6516f36d15b13a5af6053a41	00027a3e09--6516f6b602bac216571e6baf	00027a3e09--6516f6b602bac216571e6bad	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:09:26.359	2023-09-29T16:11:27.699	2023-09-29T16:11:27.699	0.0290000000
MWFDUIHKJSRYUDTDBLXTNXZEMBC	BCF	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6b602bac216571e6baf	00027a3e09--6516f36d15b13a5af60539bb	00027a3e09--6516f6b602bac216571e6baf	00027a3e09--6516f6b602bac216571e6bad	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:09:26.359	2023-09-29T16:11:27.699	2023-09-29T16:11:27.699	0.0290000000
ISOGEVZOTTUQDOCK	BZGXQTGWLECXUEZPVWIKQILONSZ	4				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6bee4173738521dd28d	00027a3e09--6516f36d15b13a5af6053a41	00027a3e09--6516f6bee4173738521dd28d	00027a3e09--6516f6bee4173738521dd288	d22ad0df983f4e7185aef69b171aea86	APPROVED	2023-09-29T16:09:34.659	2023-09-29T16:14:17.238	2023-09-29T16:14:17.238	0.0290000000
KJ	ZEXQQHFXWEFJDHRFCOP	1	1			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6bee4173738521dd28d	00027a3e09--6516f3589ed8a304702aa873	00027a3e09--6516f6bee4173738521dd28d	00027a3e09--6516f6bee4173738521dd288	d22ad0df983f4e7185aef69b171aea86	APPROVED	2023-09-29T16:09:34.659	2023-09-29T16:14:17.238	2023-09-29T16:14:17.238	0.0290000000
ETZWYRWEKQPJLU	OEOPDQRI	4				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6bee4173738521dd28d	00027a3e09--6516f36d15b13a5af60539f5	00027a3e09--6516f6bee4173738521dd28d	00027a3e09--6516f6bee4173738521dd288	d22ad0df983f4e7185aef69b171aea86	APPROVED	2023-09-29T16:09:34.659	2023-09-29T16:14:17.238	2023-09-29T16:14:17.238	0.0290000000
MWFDUIHKJSRYUDTDBLXTNXZEMBC	BCF	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6cd0ab55c42a0d8e9e0	00027a3e09--6516f36d15b13a5af60539bb	00027a3e09--6516f6cd0ab55c42a0d8e9e0	00027a3e09--6516f6cd0ab55c42a0d8e9de	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:09:49.725	2023-09-29T16:10:14.690	2023-09-29T16:10:14.690	0.0290000000
DYLI	SVETDCGL	2	2			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6cd0ab55c42a0d8e9e0	00027a3e09--6516f3589ed8a304702aa865	00027a3e09--6516f6cd0ab55c42a0d8e9e0	00027a3e09--6516f6cd0ab55c42a0d8e9de	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:09:49.725	2023-09-29T16:10:14.690	2023-09-29T16:10:14.690	0.0290000000
EUK	RAOGJH	0				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6cd0ab55c42a0d8e9e0	00027a3e09--6516f36c15b13a5af605397e	00027a3e09--6516f6cd0ab55c42a0d8e9e0	00027a3e09--6516f6cd0ab55c42a0d8e9de	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:09:49.725	2023-09-29T16:10:14.690	2023-09-29T16:10:14.690	0.0290000000
