worker_id|skill_value
70f9dccc00b799e44915b0c9b40e90d4|100
61228c8414a69f129f2c4ea02c867b36|100
644b861f3ff85c2983b12a7683d362d4|100
361026cbd474c6414eeab2fd5a174fa6|100
4c4133aeef5b4ac1092c735ede3147ac|100
f209a364f0f30b096786451bae3b1e13|100
8625a4b2ebaa8c1c9efc18c3adfda1b0|100
bdf9479198ff88cbba03a570acdb8db5|100
6def06611a230876f300aee171fe04e6|57
42d1a09445320f2214c0804de3561cf8|100
a6e98ef42fce37be0322d748d8809627|100
c149bb18e58a2997f402edc731f4aecf|100
80f70e4b946dd86b0888d154d84f41f3|100
e3e13045cf556bf4744b0e778034ba2d|100
a41626a2784a5e43d32854f771076d03|100
66a1e060d3029aefbd83105c5ac4e4d1|100
2fc0061508789ec153eb4dbf4bcc4683|88
20e6c49d9c65e582c6edff55c31e9128|88
e7f280be4cfaddc1bd5a066090011345|100
ac9055476b039291c69c59b50a7f4f7a|90
2dccc6724419fd64877d9c59f96ac05e|80
b2d2f0782a4ac1c912857d783f5a345a|100
9f77ddaea4c9813b5d2fe87d3397110e|100
b23e58a50b7ff12474d84261618c7587|83
9bfd75e6bddab889b2c77a3848ef630f|80
729b42b0a765ccf3297dc34311d2fbb2|100
fc13d2fcaee7d4155d1223db5f6a3d79|80
540765b66b87cf2001ad66546540401a|100
d0213ae6b385c3dac0171ffcc08c879d|100
855c8e5fb55a737adbb9c769cab3f066|100
41c792f30144613f0476f7028ec59aec|50
a7d0126a490327be2274474c37e723c9|100
d02a2f558a276062aa8e90181c4c91f9|100
4f03aec04a18157e28031801b0dc33ce|100
db71963eb8c439665e01a3ec675a92ad|100
611a118f455e1d9e2f674f2e49dbf9e3|100
7fd91df89d964e55cf83a44e7f8d6b4c|100
4f353b46f89ec1214fbd399f5d7996e3|88
6e3968fe40dc7a864b51d183b82437a8|90
0efcfa03b915814f5163731102188d4a|100
e8b80b462d14507c80c8e1dda873ba16|100
a961d328eebb62700000cf865786e558|100
c8c88520d129e64feb366751ba1abd64|67
d091a0cd18d5d535933de10aee1d5ff7|100
ae6b965cdd08ab6273b27608739686b4|89
4309570e0d97b3a658e1e55a4f7c44b7|100
26ea42952d43dcda07406b521320efe0|100
69a86982f8a873f9d2b251f97a895f7c|88
e21e2bb7b0a34ecbe2a839040f56bfaa|100
183e44c3a783f3ae79cdb9428b388a91|100
0feecc163f290ece6fb5e90be7d4523f|100
c381c4a2b5d82dccfe363cfcf43f4884|100
bf31f1d2019de625aa3fa564431d3047|100
888e96b198734c3bf6b1a46584b0deb7|100
a2a7cd0e4284eea69c97021b966c7a1f|100
65a228fe447b0ec6d7937c6ef11e0316|78
439d5c7cb37ff46f57591eca0963d8c6|100
8858de9a7eedd6a846c5f5e26baab2ae|67
e8da75a6abd5a9c618fb6a7a3db56c90|100
c4b621f88e4a2cc65daa54fac62035e7|100
76b2db10a97bb6a5f2828e35fc82d6a3|100
9eabb5aad4481f544e15daf6471e5321|100
fba545794d5f776e9b94885a78ded5d5|100
8b8732606c54ce7b0e8c2b03d06a3386|75
592bc2a7816224d00be13100593eb652|100
b36f4f84ee04dcf8a744169115c23411|100
c5b0defc58f571d3c039bbdc34918c87|100
f0e19f553dda9db0ae12a42c48e9bd3b|90
0860a203f4021e19acb1bd29d74d95e3|100
043cc8a70cdf9cbcef4fcc400fbfe4c1|80
d2f457f1e727a8a9c58d631dec4240d9|100
be9d8dd7a2af38bd71dd77ba145cc3f3|90
2edb624c21d6ef679861294883b61b56|100
b6baa87b0ff682157372f096cce7354c|88
0ff57013b4a54edaf3b33cac5d1d47a8|100
c92c49a3abdb1b5dd65292111f30e9c9|100
