INPUT:formula	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
8920 + 2043	10963				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5a51a56d0600c64f94f	00027eccaf--6532b18902a2ad7a848d2d04	00027eccaf--6532b5a51a56d0600c64f94f	00027eccaf--6532b5a51a56d0600c64f94b	4ff3bb526bef2dfc09d25d66edcdc772	APPROVED	2023-10-20T17:15:17.508	2023-10-20T17:15:47.324	2023-10-20T17:15:47.324	0.0290000000
279 + 490	769	769			https://platform.toloka.ai/task/41864367/00027eccaf--6532b5a51a56d0600c64f94f	00027eccaf--6532af254eb520245255b979	00027eccaf--6532b5a51a56d0600c64f94f	00027eccaf--6532b5a51a56d0600c64f94b	4ff3bb526bef2dfc09d25d66edcdc772	APPROVED	2023-10-20T17:15:17.508	2023-10-20T17:15:47.324	2023-10-20T17:15:47.324	0.0290000000
497 + 826	1323				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5a51a56d0600c64f94f	00027eccaf--6532b18702a2ad7a848d2c51	00027eccaf--6532b5a51a56d0600c64f94f	00027eccaf--6532b5a51a56d0600c64f94b	4ff3bb526bef2dfc09d25d66edcdc772	APPROVED	2023-10-20T17:15:17.508	2023-10-20T17:15:47.324	2023-10-20T17:15:47.324	0.0290000000
7293 + 7529	14822	14822			https://platform.toloka.ai/task/41864367/00027eccaf--6532b5a902a2ad7a848e432c	00027eccaf--6532af264eb520245255b9b3	00027eccaf--6532b5a902a2ad7a848e432c	00027eccaf--6532b5a902a2ad7a848e432a	c643dce42156ac5ae114adfa28624faa	APPROVED	2023-10-20T17:15:21.942	2023-10-20T17:16:06.052	2023-10-20T17:16:06.052	0.0290000000
370 + 174	544				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5a902a2ad7a848e432c	00027eccaf--6532b18902a2ad7a848d2d6d	00027eccaf--6532b5a902a2ad7a848e432c	00027eccaf--6532b5a902a2ad7a848e432a	c643dce42156ac5ae114adfa28624faa	APPROVED	2023-10-20T17:15:21.942	2023-10-20T17:16:06.052	2023-10-20T17:16:06.052	0.0290000000
4799 + 686	5485				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5a902a2ad7a848e432c	00027eccaf--6532b18902a2ad7a848d2d06	00027eccaf--6532b5a902a2ad7a848e432c	00027eccaf--6532b5a902a2ad7a848e432a	c643dce42156ac5ae114adfa28624faa	APPROVED	2023-10-20T17:15:21.942	2023-10-20T17:16:06.052	2023-10-20T17:16:06.052	0.0290000000
4798 + 22420	27218				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5c5b934dc383cd79178	00027eccaf--6532b18902a2ad7a848d2d5b	00027eccaf--6532b5c5b934dc383cd79178	00027eccaf--6532b5c5b934dc383cd79175	4ff3bb526bef2dfc09d25d66edcdc772	APPROVED	2023-10-20T17:15:49.070	2023-10-20T17:16:13.495	2023-10-20T17:16:13.495	0.0290000000
87 + 82	169	169			https://platform.toloka.ai/task/41864367/00027eccaf--6532b5c5b934dc383cd79178	00027eccaf--6532af264eb520245255b995	00027eccaf--6532b5c5b934dc383cd79178	00027eccaf--6532b5c5b934dc383cd79175	4ff3bb526bef2dfc09d25d66edcdc772	APPROVED	2023-10-20T17:15:49.070	2023-10-20T17:16:13.495	2023-10-20T17:16:13.495	0.0290000000
5343 + 9882	15225				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5c5b934dc383cd79178	00027eccaf--6532b18902a2ad7a848d2d73	00027eccaf--6532b5c5b934dc383cd79178	00027eccaf--6532b5c5b934dc383cd79175	4ff3bb526bef2dfc09d25d66edcdc772	APPROVED	2023-10-20T17:15:49.070	2023-10-20T17:16:13.495	2023-10-20T17:16:13.495	0.0290000000
497 + 826	1323				https://platform.toloka.ai/task/41864367/00027eccaf--6532b5d71d79de7c06aa7b97	00027eccaf--6532b18702a2ad7a848d2c51	00027eccaf--6532b5d71d79de7c06aa7b97	00027eccaf--6532b5d71d79de7c06aa7b94	c643dce42156ac5ae114adfa28624faa	APPROVED	2023-10-20T17:16:07.863	2023-10-20T17:16:34.026	2023-10-20T17:16:34.026	0.0290000000
