INPUT:idx	INPUT:task1_suite_id	INPUT:neutral_comment	INPUT:training_counter	OUTPUT:toxic	GOLDEN:toxic	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
518	1	Зачем вообще эта дума нужна	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6d259404dc38e65a3f7a	00027db66d--652c6aa0ac0d3c5e4b2bdcde	00027db66d--652c6d259404dc38e65a3f7a	00027db66d--652c6d259404dc38e65a3f78	6172cce8a382906f77a3d64bafdd3a27	APPROVED	2023-10-15T22:52:21.837	2023-10-15T22:52:43.876	2023-10-15T22:52:43.876	0.0300000000
243	1	неужели вы рассчитываете, что пойдя  работать на завод или на стройку или еще куда-то, вам будут платить миллиарды в долларах	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6d259404dc38e65a3f7a	00027db66d--652c6a9cac0d3c5e4b2bda9b	00027db66d--652c6d259404dc38e65a3f7a	00027db66d--652c6d259404dc38e65a3f78	6172cce8a382906f77a3d64bafdd3a27	APPROVED	2023-10-15T22:52:21.837	2023-10-15T22:52:43.876	2023-10-15T22:52:43.876	0.0300000000
13	control	Админы, вы ненормальные из 500 прокруток не одного рейда что за правила нехорошие надо выходить из игры	1	true	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6d259404dc38e65a3f7a	00027db66d--652c699d593a5b043e0227a3	00027db66d--652c6d259404dc38e65a3f7a	00027db66d--652c6d259404dc38e65a3f78	6172cce8a382906f77a3d64bafdd3a27	APPROVED	2023-10-15T22:52:21.837	2023-10-15T22:52:43.876	2023-10-15T22:52:43.876	0.0300000000
722	1	Когда Путин сказал, что Борис ельцин является для него примером-многие поняли, но только не ты	1	true				https://platform.toloka.ai/task/41793133/00027db66d--652c6de5f6de0d65d7ea0839	00027db66d--652c6aa2ac0d3c5e4b2bde7a	00027db66d--652c6de5f6de0d65d7ea0839	00027db66d--652c6de5f6de0d65d7ea0835	a1126b2bfda2760a6f6197a18de397fd	APPROVED	2023-10-15T22:55:33.386	2023-10-15T22:56:41.979	2023-10-15T22:56:41.979	0.0300000000
144	1	осторожно мошенники,эти люди  гуляют по интернету и обманывают людей,этот товар белорусской фабрики и стоит он от 4000 руб.	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6de5f6de0d65d7ea0839	00027db66d--652c6a9bac0d3c5e4b2bd9c0	00027db66d--652c6de5f6de0d65d7ea0839	00027db66d--652c6de5f6de0d65d7ea0835	a1126b2bfda2760a6f6197a18de397fd	APPROVED	2023-10-15T22:55:33.386	2023-10-15T22:56:41.979	2023-10-15T22:56:41.979	0.0300000000
20	control	нет ещё, этот, фёдоров умный, а остальные глупые	1	true	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6de5f6de0d65d7ea0839	00027db66d--652c699d593a5b043e0227b1	00027db66d--652c6de5f6de0d65d7ea0839	00027db66d--652c6de5f6de0d65d7ea0835	a1126b2bfda2760a6f6197a18de397fd	APPROVED	2023-10-15T22:55:33.386	2023-10-15T22:56:41.979	2023-10-15T22:56:41.979	0.0300000000
35	control	тренируйся чаще!! только не скачи высоко!	1	false	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6e0f4f14b96d9b1f7d9f	00027db66d--652c699e593a5b043e0227cf	00027db66d--652c6e0f4f14b96d9b1f7d9f	00027db66d--652c6e0f4f14b96d9b1f7d99	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:56:15.405	2023-10-15T22:56:46.316	2023-10-15T22:56:46.316	0.0300000000
586	1	потому что у нас такая власть и много людей , которые её поддерживает	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e0f4f14b96d9b1f7d9f	00027db66d--652c6aa0ac0d3c5e4b2bdd66	00027db66d--652c6e0f4f14b96d9b1f7d9f	00027db66d--652c6e0f4f14b96d9b1f7d99	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:56:15.405	2023-10-15T22:56:46.316	2023-10-15T22:56:46.316	0.0300000000
539	1	Отругать надо... Историю не читают	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e0f4f14b96d9b1f7d9f	00027db66d--652c6aa0ac0d3c5e4b2bdd08	00027db66d--652c6e0f4f14b96d9b1f7d9f	00027db66d--652c6e0f4f14b96d9b1f7d99	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:56:15.405	2023-10-15T22:56:46.316	2023-10-15T22:56:46.316	0.0300000000
40	control	Уйди с дороги россиян	1	false	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6e239404dc38e65a68ee	00027db66d--652c699e593a5b043e0227d9	00027db66d--652c6e239404dc38e65a68ee	00027db66d--652c6e239404dc38e65a68ec	8a50cf7d0929d195fb5f1e22a890ae64	APPROVED	2023-10-15T22:56:35.482	2023-10-15T22:57:36.869	2023-10-15T22:57:36.869	0.0320000000
243	1	неужели вы рассчитываете, что пойдя  работать на завод или на стройку или еще куда-то, вам будут платить миллиарды в долларах	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e239404dc38e65a68ee	00027db66d--652c6a9cac0d3c5e4b2bda9b	00027db66d--652c6e239404dc38e65a68ee	00027db66d--652c6e239404dc38e65a68ec	8a50cf7d0929d195fb5f1e22a890ae64	APPROVED	2023-10-15T22:56:35.482	2023-10-15T22:57:36.869	2023-10-15T22:57:36.869	0.0320000000
144	1	осторожно мошенники,эти люди  гуляют по интернету и обманывают людей,этот товар белорусской фабрики и стоит он от 4000 руб.	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e239404dc38e65a68ee	00027db66d--652c6a9bac0d3c5e4b2bd9c0	00027db66d--652c6e239404dc38e65a68ee	00027db66d--652c6e239404dc38e65a68ec	8a50cf7d0929d195fb5f1e22a890ae64	APPROVED	2023-10-15T22:56:35.482	2023-10-15T22:57:36.869	2023-10-15T22:57:36.869	0.0320000000
645	1	Кто вообще что то знает	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e30e013ff63cfece121	00027db66d--652c6aa1ac0d3c5e4b2bddde	00027db66d--652c6e30e013ff63cfece121	00027db66d--652c6e30e013ff63cfece11d	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:56:48.138	2023-10-15T22:57:18.763	2023-10-15T22:57:18.763	0.0300000000
382	1	я такую стройку впервые вижу.	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e30e013ff63cfece121	00027db66d--652c6a9eac0d3c5e4b2bdbca	00027db66d--652c6e30e013ff63cfece121	00027db66d--652c6e30e013ff63cfece11d	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:56:48.138	2023-10-15T22:57:18.763	2023-10-15T22:57:18.763	0.0300000000
29	control	Не смешно-то так? Такую ерунду обычный бомж(городской сумасшедший) лучше делает, когда к прохожим пристает орет на них.	1	false	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6e30e013ff63cfece121	00027db66d--652c699d593a5b043e0227c3	00027db66d--652c6e30e013ff63cfece121	00027db66d--652c6e30e013ff63cfece11d	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:56:48.138	2023-10-15T22:57:18.763	2023-10-15T22:57:18.763	0.0300000000
518	1	Зачем вообще эта дума нужна	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e50f6de0d65d7ea1a53	00027db66d--652c6aa0ac0d3c5e4b2bdcde	00027db66d--652c6e50f6de0d65d7ea1a53	00027db66d--652c6e50f6de0d65d7ea1a49	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:57:20.655	2023-10-15T22:57:51.264	2023-10-15T22:57:51.264	0.0300000000
34	1	Ты юрист или нет?	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e50f6de0d65d7ea1a53	00027db66d--652c6a9aac0d3c5e4b2bd8d9	00027db66d--652c6e50f6de0d65d7ea1a53	00027db66d--652c6e50f6de0d65d7ea1a49	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:57:20.655	2023-10-15T22:57:51.264	2023-10-15T22:57:51.264	0.0300000000
19	control	Нечего отдыхать в Турцию итп, своих курортов много, а турки в натуре плохие	1	true	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6e50f6de0d65d7ea1a53	00027db66d--652c699d593a5b043e0227af	00027db66d--652c6e50f6de0d65d7ea1a53	00027db66d--652c6e50f6de0d65d7ea1a49	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:57:20.655	2023-10-15T22:57:51.264	2023-10-15T22:57:51.264	0.0300000000
22	control	да ты бабуля уже всем надоела, кому только было возможно. это твой образ жизни, искренне сочувствую домашним.	1	true	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6e62a8ebdc7126d176b8	00027db66d--652c699d593a5b043e0227b5	00027db66d--652c6e62a8ebdc7126d176b8	00027db66d--652c6e62a8ebdc7126d176b6	8a50cf7d0929d195fb5f1e22a890ae64	APPROVED	2023-10-15T22:57:38.127	2023-10-15T23:00:37.748	2023-10-15T23:00:37.748	0.0320000000
645	1	Кто вообще что то знает	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e62a8ebdc7126d176b8	00027db66d--652c6aa1ac0d3c5e4b2bddde	00027db66d--652c6e62a8ebdc7126d176b8	00027db66d--652c6e62a8ebdc7126d176b6	8a50cf7d0929d195fb5f1e22a890ae64	APPROVED	2023-10-15T22:57:38.127	2023-10-15T23:00:37.748	2023-10-15T23:00:37.748	0.0320000000
722	1	Когда Путин сказал, что Борис ельцин является для него примером-многие поняли, но только не ты	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e62a8ebdc7126d176b8	00027db66d--652c6aa2ac0d3c5e4b2bde7a	00027db66d--652c6e62a8ebdc7126d176b8	00027db66d--652c6e62a8ebdc7126d176b6	8a50cf7d0929d195fb5f1e22a890ae64	APPROVED	2023-10-15T22:57:38.127	2023-10-15T23:00:37.748	2023-10-15T23:00:37.748	0.0320000000
19	1	Не ври,никто к вам в ДНР не собирается	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e70e013ff63cfecea9b	00027db66d--652c6a9aac0d3c5e4b2bd8bb	00027db66d--652c6e70e013ff63cfecea9b	00027db66d--652c6e70e013ff63cfecea94	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:57:52.800	2023-10-15T22:58:22.454	2023-10-15T22:58:22.454	0.0300000000
722	1	Когда Путин сказал, что Борис ельцин является для него примером-многие поняли, но только не ты	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c6e70e013ff63cfecea9b	00027db66d--652c6aa2ac0d3c5e4b2bde7a	00027db66d--652c6e70e013ff63cfecea9b	00027db66d--652c6e70e013ff63cfecea94	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:57:52.800	2023-10-15T22:58:22.454	2023-10-15T22:58:22.454	0.0300000000
13	control	Админы, вы ненормальные из 500 прокруток не одного рейда что за правила нехорошие надо выходить из игры	1	true	false			https://platform.toloka.ai/task/41793133/00027db66d--652c6e70e013ff63cfecea9b	00027db66d--652c699d593a5b043e0227a3	00027db66d--652c6e70e013ff63cfecea9b	00027db66d--652c6e70e013ff63cfecea94	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T22:57:52.800	2023-10-15T22:58:22.454	2023-10-15T22:58:22.454	0.0300000000
9	control	https://ok.ru/profile/579040782312 этот человек провокатор!!!!!	1	false	false			https://platform.toloka.ai/task/41793133/00027db66d--652c7048e013ff63cfed3aa9	00027db66d--652c699d593a5b043e02279b	00027db66d--652c7048e013ff63cfed3aa9	00027db66d--652c7048e013ff63cfed3aa7	7b30f574fd54012961a82a68d648b8ef	APPROVED	2023-10-15T23:05:44.615	2023-10-15T23:06:13.200	2023-10-15T23:06:13.200	0.0320000000
425	1	Что вы хотите от него. Он всегда будет таким	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c7048e013ff63cfed3aa9	00027db66d--652c6a9fac0d3c5e4b2bdc22	00027db66d--652c7048e013ff63cfed3aa9	00027db66d--652c7048e013ff63cfed3aa7	7b30f574fd54012961a82a68d648b8ef	APPROVED	2023-10-15T23:05:44.615	2023-10-15T23:06:13.200	2023-10-15T23:06:13.200	0.0320000000
518	1	Зачем вообще эта дума нужна	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c7048e013ff63cfed3aa9	00027db66d--652c6aa0ac0d3c5e4b2bdcde	00027db66d--652c7048e013ff63cfed3aa9	00027db66d--652c7048e013ff63cfed3aa7	7b30f574fd54012961a82a68d648b8ef	APPROVED	2023-10-15T23:05:44.615	2023-10-15T23:06:13.200	2023-10-15T23:06:13.200	0.0320000000
243	1	неужели вы рассчитываете, что пойдя  работать на завод или на стройку или еще куда-то, вам будут платить миллиарды в долларах	1	false				https://platform.toloka.ai/task/41793133/00027db66d--652c70634f14b96d9b1fdfbe	00027db66d--652c6a9cac0d3c5e4b2bda9b	00027db66d--652c70634f14b96d9b1fdfbe	00027db66d--652c70634f14b96d9b1fdfb9	9530eb3d629ad8432482e2095e3dfa2c	APPROVED	2023-10-15T23:06:11.507	2023-10-15T23:06:46.628	2023-10-15T23:06:46.628	0.0300000000
