worker_id|skill_value
44d034a4c4a3a986bb263d4d4bf32af6|100
b8131cada535d1467a140f3249d7dc03|70
77fbd0d3df2c4e723603f639fe388a60|100
9c6b6d1c21783974944145477c4d7a37|100
e48f13d04cac80e2442767cc98a964fb|80
fbf75354bc734926b8dd4943e1261afc|83
b1b009d0506f3f3dc6c37a0f5daede2c|100
a571af57b7ea31fa09c24006559558f8|100
2eeb04a41afc8072c3c4db4b793bc7bb|100
0ee6d53414011b2e8b96bfb7e9a04471|100
ff927905f8d268fa77c2bbf4d6f80841|80
a46a825a88f1e502fcbfae1625510cd4|100
938f5a3a14f64244909f74b3120c27fe|70
9131b58e7976aa5f60f96e269539572c|90
bbbdb841e0f308062516b3401ae7532a|100
8eb278582dabfac1ded7789b799a6ec6|100
3cc034699f283c0db688d2ddc4cbcc45|75
e002724e6dcc8f06798e9050c91bd140|100
841276383690124cb5a60e78e1ead653|70
ef30426b83a4d6405329588630a07b5c|90
6d6b9dd03a1b212c54034f89d63b807d|100
bde581c4a2d07dbed7aba3927492f607|100
31b2948af8c4ab72640e7b281c32970c|100
595ef5ffcaecb54e358575e10a1b22d4|100
61921b3d6f95fc773ac0b2ec09d55e85|100
df24865a15f0017e65ce90b5afbb0643|100
c426b6d93d481f99debafce86bd03ccb|75
512a59a32dc96d18cdd0e0adc49e1249|100
808b661f4048440dd98250ffcdce0006|100
c5984dcdc4c58225b86944bd84f0ad3b|100
53eece907fa90893030d45a327d00d29|90
3a71e65849efed24ea4559bf4c0ffa71|100
d2f48798bb98df92635cdb09baccdaf4|100
3981c6f5e95f37efd42ff249bc14dbc7|75
3912ef49f62693f7c2277d6a85e0a567|80
85ec027e1fe0e9c24b34b75218a99651|70
d891979f6904a6ffed2b04c4bc7dc2c2|80
ba166bac23ebc5af9b2f6f7a6d53ed8a|100
51bb8b102ce620faa9002ac52700ee28|100
211b42ad0fed34a8d2608faf5a6db1c2|80
654f405b58d00f2e9f1bf4763541bf5d|70
24cc1ff599ad1c20443f8af97dca8cd6|100
3281ac99d6a98c31e60f3f5a473a1af7|75
887e71d4d6741ce81a50c869eedd58f5|100
bd4215b49c8998d3a3b6ff3822d81f28|100
5fe00ece990c52b5bffa232f92e98ff8|70
1d9aa188f1f1851e9936b4f5519650a6|100
d795baa20220e1497127f88554a6c543|100
0d8a35e1071a5139e99de940264eee1d|75
848f69b2d9b4264f3060d46f6ee9387f|75
