target_group,replic,reply_1,reply_2,outputs
другое,"Ты про ""завоевание"" малозаселенные климатические пустоши на которых даже постоянного населения не было Охуительные истории, херр долбоеб. И про крем? С этим справились бы даже Польша, даже Эстляндия, чего уж там. Нет, они с этим не могли справится. Польша вообще была одной из крупнейших империй на тот момент, так что приписка ""даже"", выдает в тебе малограмотного дегенерата с пораши.","Это не очень-то вежливо с твоей стороны. Мало того, что козыряешь своим глубочайшим познанием имперской Польши, и Эстляндии, и вообще всей истории от древности до наших времён. А элементарной вежливости так и не научился, жаль","“так что приписка ""даже"", выдает в тебе малограмотного дегенерата с пораши”? Ты тоже не очень умный. Этот дегенерат буквально с оппоста пишет про то, как «русня сосет», а ты и другие аноны вместо игнора убогого его кормите.",2
женщины,"Мы разошлись на пару месяцев, потом обратно сошлись В этом время и залетела нихуя не сказав Кстати это была моя управляющая",Ого! Неожиданное развитие событий. Продолжение какое? Признал? Нет?,"найс рофл. полюбому на хуях скакала, когда с тобой встречалась. суть шлюх",2
женщины,"Внатуре мдсыч, сними её ещё раз, чтоб закрепить свой потенциальный нофап, а то остатки спермотоксикоза тебя ещё долго мучить будут, не мучай себя. А после, уже целибат, до 30. Кста, выложи тогда уж фотки первой шлюхи.","На самом деле у меня нет первых фотографий. Первый опыт был в интернете, когда мне было лет 15-17","Не, я сегодня прям всё слил до последней капли, вест стрес, всё ушло. А фоток первой шлюхи нет.",2
женщины,"гг такая дохуя интровертная мизантропка ГГ-тян первым делом начинает графично прыгать по хуям Такой прием (описание героини как способной взять и просто поебаться когда хочется или когда ей предлагают) ряд авторов как-раз и использует что бы показать игнорирование героиней социальных норм или даже её склонность к аутодеструкции (типа она даже свое тело за ""ценность"" не считает, не то что чужое). Это помимо автор на свои фетиши надрачивает",Или же в самом начале текста это есть: «Как будто сам Шекспир рукою своею начертил на холсте её образ»,"Суэнвик таких блядей любит. У него что в ДЖД, что в Цветах, гг маленькая ауешная проблядь-наркоманка.",2
другое,"В прошлом году, в иллюзии государства под название РФ простой башкирский срочный порешал 20 рабских пидарашек. Странно, почему лахтобляди не вспоминают сей факт теперь.","Почему ты так считаешь? И вообще почему агрессивно высказанное суждение считается не только за довод, но и за демонстрацию интеллекта. Странно это","“Странно, почему лахтобляди не вспоминают сей факт теперь”? Да нет, мы все помним. В коллекции примеров Теоремы Тарана пополнение.",2
другое,"Ебать тебя порвало. Теперь твоему маленькому сынишке придется зашивать тебе жопу, ну зачем ты так. Ты откуда сюда прибежал, абориген? Водки уже накатил? Уебывай в свой вотсап фейковые ссылки распространять, вы там такое любите, тут ты не нужен.","ты сюда откуда прибежало, чмо ебаное малолетнее?пасть свою захлопнула и съебалась.скот - это ты. Прыщавый немытый скот. поэтому тебе и бабы не дают. У тебя все скоты, один ты типа нет, но ты просто чмондель, который давно пизды не получал. Ничего скоро получишь","Ну, не тебе решать, кто и где нужен. Так что пока остаюсь здесь. А “в бессильной злобе яриться” можешь сколько тебе угодно. Нравится тебе - продолжай. Принимать на свой счёт твою жажду выговориться я не буду, но рад, что ты по опыту знаешь, что распространяют в Ватсапе",1
женщины,как же заебали ваши азиатки,Лучше азиаток чем полу-голых блядей,"Люблю, когда разные женщины могут себя показать и проявить!",1
женщины,Гадость лютейшая. Если сопротивляешься начинаешь болеть. Крыша едет. Лично я теперь планирую отомстить той шалаве которая меня напоила своей мерзкой кровью. Это хорошо еще если она не спидозная. Тогда уже найду в реальности,"“Крыша едет”? Был подростком, чуть с ума не сошел. Бегал как щенок, а шлюха с этого ржала “Лично я теперь планирую отомстить той шалаве которая меня напоила своей мерзкой кровью”? Не лезь туда ) Лучше тебе не будет. Бабе прилетит за это","Ты о каких-то странных приворотных ритуалах рассказываешь, я таких и не знаю. Вообще влюблённость и без всяких приворотов штука нервно-паралитическая, ничего разумного предпринять не можешь, гормоны в организме бесятся",1
женщины,"та ебать я с 2 до 6 лет жил в общаге, где соседнюю комнату сдавали проститутке алене восемнадцати лет, которая вечно жмякала мне хуй, а когда гонялась за мной с целью поцеловать в губы, мать грила ей что перетянет сковородкой по всему ее блядскому еблу","ну ты везунчик проститутка бесплатно делала этот перк не сохранился? так оно наверное и к лучшему, я бы не хотел так листву сбросить, хотя не скажу что особо лучше и получилось я еще хуже сбросил. это полный реально адовый пиздец.","Однако, тебе есть что рассказать! Это не стало причиной травмы? Ты после этого нормально относишься к женщинам? Нет вот этого желания тут же отселить в соседнюю комнату? В таких случаях реакция годы спустя непредсказуемой бывает.",1
мужчины,"Откуда ты знаешь был он верным слугой или нет, крысёнок? Может он и был цепным псом режима, а может был норм мужиком и пытался работать по справедливости? Тебе то гною откуда знать.","Ты тут бычишься и показушно агришься чтобы ЧСВ почесать. А мы вообще-то о конкретном чуваке, про которого статья в вики есть. Каждому есть откуда про него знать. И тебе тоже, обрати внимание, и мне, разумеется. А вот то, что ты полез кого-то защищать без повода, что стриггернуло у тебя что-то, о многом говорит","хуя ты лахтодырый пидорас набрасываешь “Откуда ты знаешь был он верным слугой или нет, крысёнок? Может он и был цепным псом режима”? Яковлев Сергей Лондинович, 53 года, полковник полиции, бывший заместитель начальника Управления ФСКН России по Вологодской области, а затем федеральный инспектор по Вологодской области аппарата полномочного представителя президента РФ в СЗФО. Может он и был цепным псом режима БляТЬ .давно так не орал",2
