worker_id|skill_value
c6f7c4b9fab5f7df09611fdf68639607|90
da9db5f6991775dc491baf7051162b57|78
f24edb7cd4a9fce9ad6075c7d740f8ef|56
da1a8dd95e8cc01f312110d0a52e672c|80
58e4fc57c3393398479532990d0657fc|33
bca7efbb853c72e6c0f98b678030c071|70
1f86103adba899ce6f47aa394cbe0628|80
4454ed3a0fb71ad79ac0132c8f942a95|90
579f2c2e1d2c4587aadabf095709cb13|78
1a0c3366861b366aa75d5751c6468bda|50
601d632591dffe427130d03fd2ab7d9a|22
47980566efdd2c92f7117c4eed4b23c1|44
60c6a6d1372d14399aa49691b1b0933b|78
f6f5f39ed6011c9c62ef4505c3c8dd97|90
e9989c762d35157633f59b9aeb3b2991|89
c3c1a1616dfb0c7495b9c01c0c661d8e|56
46555c2fdffa5c5c63597034b477e10f|100
0042161dd2255759513232b194341692|70
2ec0ecf0cec8bd35a3471c386afcffa7|78
b9dda89d124bd9d7ef87973957aba3df|90
0613bb7d6a055407b98cdd026dfc73f3|100
5ccb09388c74ecbea6255c9a85b5173d|78
fee78adce8fb7d418a84d6b9ac75b953|80
051f2beab76321ead0be731fadbe3ee6|100
9b3d2446d0b6437a72f4a28e7fe89061|33
fb8e9e5ea6fa178aac4eb9e46a8f9017|70
aac62ec300f46705ae35609cc084f9b8|100
2e5e38439abcbdd54bd2fba34c84c081|78
d9ee8e2d386276f828f7243c6dc2cc56|78
818f1b093f95707dc40a214ce3e5700e|56
1eb0dd9dee12347fa947d134aa833e95|67
1d3f812ece19c641b7015ed28d7b2bc8|33
d2f7b9c25ea490b4f0b21b3317e21f4f|90
06bca14632ff1ab094dbf45984509bb2|90
2a34a104ab85501ca07fc86e152837ea|89
98080b67c79d2e92359462c0aab1b5fa|90
0378c62a47525f21f210e4225e6f2ff7|90
729b42b0a765ccf3297dc34311d2fbb2|80
d3a9aaffc63d408553b396dc429b06fc|100
6a2a3ecb8a360702fdcedf48a7fd07cf|90
4c5eea8d9827b5370e3be5f7afb0e03b|100
d7cd45f1e69376ea23a78ca43dcbf37b|90
b5d97fb811f108f070ffda59491c0a1f|100
e7f280be4cfaddc1bd5a066090011345|70
256264602d71bf44b25d56edca80fb8f|90
9a5001b400405202b6e9cc1b01db465a|67
23a278b8abff705b8b102c3fd1d18ae5|90
a2d35cc2394118b917c1b17dcce4dd90|70
ca6d66ff9d02afee099937e95f33d624|56
d49febba3c576d8b84ae8fc5a665c0d6|78
061dfee3937b4a6a9cbddad61d437b48|90
5be04853b96bab4b1aae01e2aa8610d2|100
2622b0bf0d808f95af1fd582a64dd765|70
7a600880e0f63c27433a15ea3ed1890f|100
cb035a15a0b2ed37327011c8a9dd8f4e|11
b67a5b92ef764b7831d74dd0bfb87ebb|78
adec62ca9101a15f89c9b7271eca7beb|89
fa780fa22cad66c3cc707fb919c65f32|78
16dd39bf405cff9797605d7c7fe60176|67
9da1b49023716d3d84bb235cd1e910d1|100
4c4133aeef5b4ac1092c735ede3147ac|90
6da0c04f86fd3b7d3abde9e6900c3cd8|100
923b5ed941091fde78a15162dc4ed42f|78
1d160cd5d8c5230c12be9e4f9b3b8c1a|100
a87324d84619a40561961c4bef0174eb|67
bb3d4bdd7d453a50aeba796305a3bce9|67
b2b9ceddc2dedb816a6f0923943cc498|100
1ecf8c5859bcef508fbdefdf78c49ad6|78
9206f01f220beedeef20f59d4246d4ec|89
7f95d47440aaa997a246d648ca568917|90
29ebfec710439ba9b996d502389b3907|90
5c13a99b4f4924075539413041487ff1|70
0e5ed418ff8317acaff3e89969f8ea88|100
6414ebf09dc4ac092987054210581d28|100
ce4295676670da4763c23e1eb17d61f1|100
a9d48da79ab6ff29c9fb20c2c8735273|80
5a98dfa47886415f4eba7388ba097e9c|100
d01ebc54811f0ead90078e101a2290de|90
cdcbfabf7e59d08c8a918fa8011df2da|90
a69f4b1d5505953abb1047a2eb77ade8|100
8cf4f1499e0df1f6788a0f66514becbf|90
24d425592e64b332984827083d03e14b|100
8771fd19953c29184c14bcc2775c4c2a|100
818ced8c4f7482d2fc315aabae3d09e1|100
dc20772406694ce5e8feae1620d26561|100
466c54f65c9243cb2a049ae0729b3704|90
95087a4e2896fb47116205ffa53d68dd|89
04361f8dde45aacf845f9170a9f5369e|100
a3c0e8ccab763d86dce57031902ca24a|100
9c25a2fff147f4d757133fe14d511eca|100
fe14d5ed7e235fb560ea24230402cf3c|100
b81512831a2a02a34add3a71a5932cbd|100
72edafbaab4d5a5e611b9c2a876461b0|89
14b03b1fff80916c166fd63691eca533|100
b73c023f5add062d5fac202ce88d6447|100
bf73a52ef69e2038b2e2c3572b2feb42|100
b84a1741b859ec2b26a7f5398e2b4516|100
e900e4ebee531adcc12b4c805fcf5ef5|100
f33770c3f20697dadc87671c4a31228f|100
6b6f7cb611698c12ebf9cdd97c86c97e|89
0fa19b6a62fe9425fd2eb56b4ab51ba1|78
eb09add6824def0f0274056c8b3347d9|78
0778bd3e8f9296e24ba784b6c89d73a1|100
