INPUT:formula	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
((-6) + 9 * (-4) - (-8))	-34				https://platform.toloka.ai/task/41562232/00027a3078--6516c2158879a44e701a88f7	00027a3078--6516b2ee056db464d2cd5f04	00027a3078--6516c2158879a44e701a88f7	00027a3078--6516c2158879a44e701a88e9	14098124e4a687d4023347e387bd282c	APPROVED	2023-09-29T12:24:53.371	2023-09-29T12:26:40.733	2023-09-29T12:26:40.733	0.0220000000
(((4 - 4) - (2 - (-1))) * ((6 - 1) - (7 - 8)))	-6				https://platform.toloka.ai/task/41562232/00027a3078--6516c2158879a44e701a88f7	00027a3078--6516b2eb056db464d2cd599c	00027a3078--6516c2158879a44e701a88f7	00027a3078--6516c2158879a44e701a88e9	14098124e4a687d4023347e387bd282c	APPROVED	2023-09-29T12:24:53.371	2023-09-29T12:26:40.733	2023-09-29T12:26:40.733	0.0220000000
(((9 - (-3)) - (6 * (-4))) * (((-1) + 3) + ((-2) + 3)))	108	108			https://platform.toloka.ai/task/41562232/00027a3078--6516c2158879a44e701a88f7	00027a3078--6516b2c9f9fa01475aa9b78a	00027a3078--6516c2158879a44e701a88f7	00027a3078--6516c2158879a44e701a88e9	14098124e4a687d4023347e387bd282c	APPROVED	2023-09-29T12:24:53.371	2023-09-29T12:26:40.733	2023-09-29T12:26:40.733	0.0220000000
((((-4) * (-1)) + ((-1) - 6)) - ((0 - (-2)) * (1 - 8)))	11				https://platform.toloka.ai/task/41562232/00027a3078--6516c2828879a44e701a9f46	00027a3078--6516b2eb056db464d2cd59ac	00027a3078--6516c2828879a44e701a9f46	00027a3078--6516c2828879a44e701a9f44	14098124e4a687d4023347e387bd282c	APPROVED	2023-09-29T12:26:42.450	2023-09-29T12:30:05.341	2023-09-29T12:30:05.341	0.0220000000
(((3 * 2) * (0 + (-4))) * (((-3) - (-9)) + (1 * (-5))))	-24				https://platform.toloka.ai/task/41562232/00027a3078--6516c2828879a44e701a9f46	00027a3078--6516b2eb056db464d2cd5998	00027a3078--6516c2828879a44e701a9f46	00027a3078--6516c2828879a44e701a9f44	14098124e4a687d4023347e387bd282c	APPROVED	2023-09-29T12:26:42.450	2023-09-29T12:30:05.341	2023-09-29T12:30:05.341	0.0220000000
(((-2) + (-4) - (-8) * (-9)) - ((-4) * 2 * 0 * 3))	-78	-78			https://platform.toloka.ai/task/41562232/00027a3078--6516c2828879a44e701a9f46	00027a3078--6516b2c9f9fa01475aa9b767	00027a3078--6516c2828879a44e701a9f46	00027a3078--6516c2828879a44e701a9f44	14098124e4a687d4023347e387bd282c	APPROVED	2023-09-29T12:26:42.450	2023-09-29T12:30:05.341	2023-09-29T12:30:05.341	0.0220000000
((((2 - 0) - (8 - 1)) - ((1 * (-4)) - ((-6) - (-4)))) + ((((-2) + 6) * (2 - (-3))) + ((4 * 6) - (6 + (-8)))))	43				https://platform.toloka.ai/task/41562232/00027a3078--6516c2d14dc98f156ea45a05	00027a3078--6516b2eb056db464d2cd5749	00027a3078--6516c2d14dc98f156ea45a05	00027a3078--6516c2d14dc98f156ea45a01	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:28:01.104	2023-09-29T12:28:29.823	2023-09-29T12:28:29.823	0.0220000000
(((3 + (-5) - (-4)) * (3 + 5 - (-2))) - (((-1) + (-1) * 1) - (7 + 1 - (-6))))	36	36			https://platform.toloka.ai/task/41562232/00027a3078--6516c2d14dc98f156ea45a05	00027a3078--6516b2c9f9fa01475aa9b79f	00027a3078--6516c2d14dc98f156ea45a05	00027a3078--6516c2d14dc98f156ea45a01	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:28:01.104	2023-09-29T12:28:29.823	2023-09-29T12:28:29.823	0.0220000000
(((4 - 4) - (2 - (-1))) * ((6 - 1) - (7 - 8)))	-18				https://platform.toloka.ai/task/41562232/00027a3078--6516c2d14dc98f156ea45a05	00027a3078--6516b2eb056db464d2cd599c	00027a3078--6516c2d14dc98f156ea45a05	00027a3078--6516c2d14dc98f156ea45a01	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:28:01.104	2023-09-29T12:28:29.823	2023-09-29T12:28:29.823	0.0220000000
((((2 + 5) * (0 + (-4))) * ((1 + (-4)) - (9 - (-3)))) - ((((-3) - 4) + ((-3) + (-7))) - (((-6) + (-8)) * ((-4) + 9))))	367				https://platform.toloka.ai/task/41562232/00027a3078--6516c2ef2d0529346bdcd911	00027a3078--6516b2eb056db464d2cd575f	00027a3078--6516c2ef2d0529346bdcd911	00027a3078--6516c2ef2d0529346bdcd906	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:28:31.264	2023-09-29T12:29:05.191	2023-09-29T12:29:05.191	0.0220000000
(((((-5) - (-2) + 8) * (7 * 7 - 7)) - (((-5) + (-1) - (-8)) * ((-7) + 4 - 4))) - ((((-7) + 6 + (-6)) + ((-9) + 8 - (-2))) - ((8 * 6 - 0) - (6 * 9 + (-7)))))	231	231			https://platform.toloka.ai/task/41562232/00027a3078--6516c2ef2d0529346bdcd911	00027a3078--6516b2c9f9fa01475aa9b798	00027a3078--6516c2ef2d0529346bdcd911	00027a3078--6516c2ef2d0529346bdcd906	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:28:31.264	2023-09-29T12:29:05.191	2023-09-29T12:29:05.191	0.0220000000
(((-6) - (-1)) + (4 + 8))	7				https://platform.toloka.ai/task/41562232/00027a3078--6516c2ef2d0529346bdcd911	00027a3078--6516b2ec056db464d2cd5b69	00027a3078--6516c2ef2d0529346bdcd911	00027a3078--6516c2ef2d0529346bdcd906	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:28:31.264	2023-09-29T12:29:05.191	2023-09-29T12:29:05.191	0.0220000000
(((4 - 4) - (2 - (-1))) * ((6 - 1) - (7 - 8)))	-18				https://platform.toloka.ai/task/41562232/00027a3078--6516c3089ed8a304701f9f76	00027a3078--6516b2eb056db464d2cd599c	00027a3078--6516c3089ed8a304701f9f76	00027a3078--6516c3089ed8a304701f9f6a	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:28:56.363	2023-09-29T12:29:59.607	2023-09-29T12:29:59.607	0.0220000000
((7 - (-1) + (-1) + (-4)) - ((-7) + 7 * 3 * (-9)))	199	199			https://platform.toloka.ai/task/41562232/00027a3078--6516c3089ed8a304701f9f76	00027a3078--6516b2c9f9fa01475aa9b769	00027a3078--6516c3089ed8a304701f9f76	00027a3078--6516c3089ed8a304701f9f6a	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:28:56.363	2023-09-29T12:29:59.607	2023-09-29T12:29:59.607	0.0220000000
(((3 * 2) * (0 + (-4))) * (((-3) - (-9)) + (1 * (-5))))	-24				https://platform.toloka.ai/task/41562232/00027a3078--6516c3089ed8a304701f9f76	00027a3078--6516b2eb056db464d2cd5998	00027a3078--6516c3089ed8a304701f9f76	00027a3078--6516c3089ed8a304701f9f6a	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:28:56.363	2023-09-29T12:29:59.607	2023-09-29T12:29:59.607	0.0220000000
